Batch ID,Batch Name,Coffee Variety,Harvest Date,Fermentation Method,Type of Water Used,Additives for fermentation,SCA Score,Fermentation Records,Average Temp,Average PH,Average Brix,Average Humidity,Fermentation Weather,Fermentation Start,Fermentation End,Drying Records,Drying Start Date/Time,Drying End Date/Time,Form Submitted Date/Time,Form Modified Date/Time,Average Drying Temp,Average Drying Humidity,Barrel Open in (Hour),Barrel Close in (Hour),Pre-fermentation for Honey,Pre-fermentation Details (Hour) for Honey
Batch 1,Batch 1,Special,10/25/2023,Honey,,None,90,"ferm_Batch 1_2023-10-20T14:50:24.709898,ferm_Batch 1_2023-10-22T20:25:08.709898,ferm_Batch 1_2023-10-25T07:56:20.709898",22.5,4.662,17.4,75,"Sunny,Rainy,Light Rain,Partly Cloudy",10/20/2023 08:54 AM,10/25/2023 08:54 PM,"dry_Batch 1_2023-10-27T12:19:25.709898,dry_Batch 1_2023-10-28T03:41:04.709898,dry_Batch 1_2023-10-30T01:04:43.709898,dry_Batch 1_2023-10-26T21:42:28.709898",10/26/2023 06:54 AM,10/30/2023 11:54 AM,10/20/2023 02:11 PM,10/25/2023 10:02 PM,28.0,67.885,1,78,No,0
Batch 2,Batch 2,Special,05/28/2023,Honey,,Yeast,87,"ferm_Batch 2_2023-05-24T13:21:13.816306,ferm_Batch 2_2023-05-25T14:22:01.816306,ferm_Batch 2_2023-05-24T14:24:06.816306",26.8,4.256,17.1,60,"Sunny,Partly Cloudy,Sunny",05/23/2023 12:50 PM,05/28/2023 02:50 AM,"dry_Batch 2_2023-06-01T09:19:08.816306,dry_Batch 2_2023-05-28T20:30:55.816306,dry_Batch 2_2023-05-29T14:37:31.816306,dry_Batch 2_2023-05-31T22:59:07.816306,dry_Batch 2_2023-05-30T11:43:40.816306",05/28/2023 04:50 AM,06/01/2023 06:50 PM,05/23/2023 07:15 PM,05/28/2023 01:52 PM,27.7,82.335,0,105,No,0
Batch 3,Batch 3,Special,08/26/2022,Washed,Filtered Water,None,85,"ferm_Batch 3_2022-08-23T19:47:31.873000,ferm_Batch 3_2022-08-25T16:16:01.873000,ferm_Batch 3_2022-08-25T01:35:39.873000,ferm_Batch 3_2022-08-23T14:21:08.873000,ferm_Batch 3_2022-08-23T08:00:19.873000",23.9,4.523,15.5,69,"Overcast,Partly Cloudy,Light Rain,Rainy,Cloudy",08/21/2022 07:40 AM,08/26/2022 07:40 AM,"dry_Batch 3_2022-08-28T09:38:28.873000,dry_Batch 3_2022-08-29T21:30:29.873000,dry_Batch 3_2022-08-29T14:08:11.873000,dry_Batch 3_2022-08-28T13:53:02.873000",08/26/2022 07:40 PM,08/30/2022 02:40 PM,08/21/2022 09:32 AM,08/26/2022 12:11 PM,23.5,70.137,,,,
Batch 4,Batch 4,Special,06/09/2024,Honey,,None,84,"ferm_Batch 4_2024-06-06T20:30:21.993883,ferm_Batch 4_2024-06-08T22:44:18.993883,ferm_Batch 4_2024-06-07T12:30:26.993883",21.7,4.252,16.0,65,"Heavy Rain,Cloudy,Light Rain",06/05/2024 05:44 PM,06/09/2024 08:44 AM,"dry_Batch 4_2024-06-10T17:08:06.993883,dry_Batch 4_2024-06-10T19:02:28.993883,dry_Batch 4_2024-06-09T22:21:22.993883",06/09/2024 12:44 PM,06/14/2024 09:44 AM,06/06/2024 12:15 AM,06/09/2024 11:41 AM,21.9,67.56,1,100,No,0
Batch 5,Batch 5,Special,05/16/2022,Honey,,Yeast,90,"ferm_Batch 5_2022-05-12T16:54:36.763953,ferm_Batch 5_2022-05-14T07:25:31.763953,ferm_Batch 5_2022-05-11T15:37:52.763953",28.0,4.992,19.1,83,"Cloudy,Cloudy,Rainy",05/10/2022 07:35 PM,05/16/2022 02:35 PM,"dry_Batch 5_2022-05-18T12:51:05.763953,dry_Batch 5_2022-05-17T23:48:22.763953,dry_Batch 5_2022-05-18T20:10:52.763953,dry_Batch 5_2022-05-18T07:41:52.763953",05/16/2022 11:35 PM,05/21/2022 01:35 AM,05/10/2022 11:57 PM,05/16/2022 10:16 PM,18.0,62.027,1,73,No,0
Batch 6,Batch 6,Special,12/22/2021,Washed,Spring Water,None,82,"ferm_Batch 6_2021-12-18T07:12:34.610227,ferm_Batch 6_2021-12-18T14:22:33.610227,ferm_Batch 6_2021-12-17T13:25:58.610227,ferm_Batch 6_2021-12-20T01:16:53.610227,ferm_Batch 6_2021-12-20T16:49:34.610227",18.0,4.329,15.8,68,"Light Rain,Light Rain,Sunny",12/17/2021 03:00 AM,12/22/2021 08:00 AM,"dry_Batch 6_2021-12-26T20:26:19.610227,dry_Batch 6_2021-12-25T11:24:34.610227,dry_Batch 6_2021-12-25T08:41:24.610227,dry_Batch 6_2021-12-24T21:25:16.610227",12/22/2021 11:00 AM,12/27/2021 03:00 PM,12/17/2021 03:29 AM,12/22/2021 09:14 AM,18.6,70.695,,,,
Batch 7,Batch 7,Special,06/15/2022,Honey,,None,82,"ferm_Batch 7_2022-06-12T19:44:19.291477,ferm_Batch 7_2022-06-12T10:54:34.291477,ferm_Batch 7_2022-06-15T10:12:01.291477",21.5,4.272,17.4,60,"Overcast,Cloudy,Sunny,Overcast",06/12/2022 08:32 AM,06/15/2022 03:32 PM,"dry_Batch 7_2022-06-19T15:50:40.291477,dry_Batch 7_2022-06-19T13:34:04.291477,dry_Batch 7_2022-06-15T23:07:16.291477,dry_Batch 7_2022-06-17T00:49:50.291477",06/15/2022 04:32 PM,06/21/2022 06:32 AM,06/12/2022 10:38 AM,06/15/2022 11:27 PM,25.7,85.078,0,111,Yes,8
Batch 8,Batch 8,Special,02/06/2023,Washed,Spring Water,Molasses,84,"ferm_Batch 8_2023-02-05T21:59:46.820209,ferm_Batch 8_2023-02-04T15:54:26.820209,ferm_Batch 8_2023-02-05T10:22:56.820209,ferm_Batch 8_2023-02-04T22:59:30.820209,ferm_Batch 8_2023-02-05T14:38:43.820209",21.8,4.286,17.4,75,"Overcast,Cloudy,Cloudy",02/03/2023 02:55 AM,02/06/2023 04:55 AM,"dry_Batch 8_2023-02-10T19:34:11.820209,dry_Batch 8_2023-02-10T21:03:19.820209,dry_Batch 8_2023-02-06T16:38:09.820209",02/06/2023 06:55 AM,02/10/2023 10:55 PM,02/03/2023 01:48 PM,02/06/2023 05:17 AM,22.5,81.646,,,,
Batch 9,Batch 9,Special,04/19/2022,Honey,,None,90,"ferm_Batch 9_2022-04-15T22:03:53.757452,ferm_Batch 9_2022-04-14T13:49:44.757452,ferm_Batch 9_2022-04-14T15:44:11.757452",28.0,4.676,19.1,79,"Sunny,Light Rain,Cloudy,Cloudy",04/14/2022 12:07 AM,04/19/2022 09:07 AM,"dry_Batch 9_2022-04-22T15:19:38.757452,dry_Batch 9_2022-04-22T14:09:45.757452,dry_Batch 9_2022-04-21T17:25:15.757452,dry_Batch 9_2022-04-21T12:32:42.757452,dry_Batch 9_2022-04-22T05:30:30.757452",04/19/2022 11:07 AM,04/23/2022 02:07 PM,04/14/2022 10:46 AM,04/19/2022 10:15 AM,18.8,68.861,1,90,Yes,21
Batch 10,Batch 10,Normal,03/13/2024,Honey,,Sugar,87,"ferm_Batch 10_2024-03-09T19:06:44.994312,ferm_Batch 10_2024-03-12T22:50:57.994312,ferm_Batch 10_2024-03-12T10:20:23.994312,ferm_Batch 10_2024-03-13T17:33:03.994312,ferm_Batch 10_2024-03-13T03:40:45.994312",20.7,4.0,15.9,88,"Overcast,Partly Cloudy,Rainy,Overcast",03/09/2024 06:54 PM,03/13/2024 06:54 PM,"dry_Batch 10_2024-03-18T06:03:32.994312,dry_Batch 10_2024-03-14T03:55:25.994312,dry_Batch 10_2024-03-16T13:42:21.994312,dry_Batch 10_2024-03-14T14:22:14.994312,dry_Batch 10_2024-03-15T18:02:30.994312",03/13/2024 08:54 PM,03/18/2024 06:54 PM,03/10/2024 06:33 AM,03/14/2024 01:07 AM,24.2,90.0,3,103,No,0
Batch 11,Batch 11,Normal,06/30/2022,Honey,,Sugar,86,"ferm_Batch 11_2022-06-30T15:58:14.491655,ferm_Batch 11_2022-06-28T20:49:36.491655,ferm_Batch 11_2022-06-28T21:15:55.491655",23.1,4.881,18.7,69,"Cloudy,Overcast,Cloudy,Light Rain,Rainy",06/27/2022 06:34 AM,06/30/2022 08:34 PM,"dry_Batch 11_2022-07-01T06:26:22.491655,dry_Batch 11_2022-07-03T19:14:36.491655,dry_Batch 11_2022-07-01T22:17:41.491655,dry_Batch 11_2022-07-02T04:04:12.491655",07/01/2022 12:34 AM,07/04/2022 12:34 AM,06/27/2022 04:24 PM,06/30/2022 10:52 PM,23.2,84.826,0,95,No,0
Batch 12,Batch 12,Special,07/02/2022,Washed,Spring Water,None,84,"ferm_Batch 12_2022-07-02T06:51:12.042083,ferm_Batch 12_2022-06-27T15:17:01.042083,ferm_Batch 12_2022-06-29T16:45:31.042083,ferm_Batch 12_2022-07-02T16:31:04.042083,ferm_Batch 12_2022-07-02T09:25:33.042083",19.2,4.639,17.4,70,"Cloudy,Rainy,Heavy Rain,Partly Cloudy,Light Rain",06/27/2022 08:31 AM,07/02/2022 08:31 PM,"dry_Batch 12_2022-07-05T22:03:53.042083,dry_Batch 12_2022-07-06T18:16:54.042083,dry_Batch 12_2022-07-04T04:49:42.042083,dry_Batch 12_2022-07-05T05:40:26.042083,dry_Batch 12_2022-07-05T19:24:25.042083",07/02/2022 09:31 PM,07/08/2022 02:31 AM,06/27/2022 04:59 PM,07/02/2022 09:56 PM,26.7,90.0,,,,
Batch 13,Batch 13,Special,05/22/2024,Washed,Spring Water,None,85,"ferm_Batch 13_2024-05-19T04:25:14.137728,ferm_Batch 13_2024-05-21T04:45:29.137728,ferm_Batch 13_2024-05-20T08:46:33.137728,ferm_Batch 13_2024-05-20T00:10:53.137728",27.4,4.129,16.3,86,"Partly Cloudy,Overcast,Cloudy,Cloudy",05/18/2024 07:25 PM,05/22/2024 02:25 PM,"dry_Batch 13_2024-05-25T20:45:15.137728,dry_Batch 13_2024-05-23T07:00:26.137728,dry_Batch 13_2024-05-25T17:38:37.137728,dry_Batch 13_2024-05-22T23:41:58.137728,dry_Batch 13_2024-05-27T07:38:34.137728",05/22/2024 11:25 PM,05/27/2024 11:25 AM,05/19/2024 01:20 AM,05/22/2024 11:14 PM,20.9,90.0,,,,
